cnty_fips,percent_inactive,percent_smoking,percent_high_blood_pressure,percent_coronary_heart_disease,percent_stroke,percent_high_cholesterol,FIPS_x,NonVetsDisabilty,FIPS_y,VetsDisabilty
2013,21.5,18.5,34.1,5.9,3.1,31.2,2013,143.0,2013,0.0
2016,20.0,16.7,30.3,4.6,2.3,30.3,2016,192.0,2016,14.0
2020,17.9,15.7,28.8,4.9,2.5,29.4,2020,14894.0,2020,2830.0
2050,22.0,34.0,36.2,8.1,5.1,28.7,2050,1116.0,2050,89.0
2060,20.9,17.8,33.6,7.5,3.7,32.3,2060,51.0,2060,12.0
2068,16.7,17.4,30.9,5.7,2.7,30.9,2068,230.0,2068,9.0
2070,22.6,28.4,35.1,7.7,4.5,29.3,2070,256.0,2070,10.0
2090,20.4,15.7,28.0,4.7,2.3,27.5,2090,5167.0,2090,1521.0
2100,16.8,17.1,36.7,8.2,3.8,34.5,2100,52.0,2100,24.0
2105,19.8,20.5,40.9,9.7,4.7,35.8,2105,154.0,2105,13.0
2110,14.1,14.8,29.7,5.5,2.6,31.3,2110,1646.0,2110,233.0
2122,20.4,18.5,35.9,7.4,3.4,34.0,2122,4111.0,2122,447.0
2130,19.9,16.8,33.7,6.5,3.1,31.4,2130,862.0,2130,121.0
2150,23.7,16.4,28.9,5.1,2.5,30.0,2150,568.0,2150,103.0
2164,21.9,25.1,37.5,7.7,4.3,31.7,2164,85.0,2164,5.0
2170,21.4,18.8,32.1,5.9,2.8,31.9,2170,6395.0,2170,1638.0
2180,21.3,30.3,33.8,7.4,4.3,28.8,2180,497.0,2180,40.0
2185,22.6,24.8,32.3,6.1,3.2,29.6,2185,531.0,2185,24.0
2188,25.7,31.6,34.9,7.7,4.5,28.8,2188,319.0,2188,44.0
2195,21.0,17.1,33.9,7.1,3.3,34.8,2195,262.0,2195,4.0
2198,17.5,23.7,39.6,9.3,4.7,35.0,2198,678.0,2198,33.0
2220,20.2,15.4,32.2,6.2,2.9,31.1,2220,480.0,2220,14.0
2230,18.2,18.3,31.0,5.7,2.7,30.8,2230,73.0,2230,0.0
2240,19.1,18.7,33.3,6.9,3.3,33.5,2240,552.0,2240,148.0
2158,22.0,40.7,39.1,9.1,6.0,28.4,2158,569.0,2158,55.0
2275,18.4,18.8,39.4,9.2,4.3,37.3,2275,137.0,2275,1.0
2282,21.2,21.0,38.5,8.6,4.3,34.0,2282,13.0,2282,5.0
2290,23.6,28.6,38.9,9.8,5.5,32.4,2290,469.0,2290,33.0
6001,15.6,10.0,25.7,4.8,2.4,28.8,6001,67064.0,6001,2851.0
6005,21.4,13.4,34.4,8.6,3.8,35.2,6005,1939.0,6005,478.0
6007,20.7,14.0,29.3,7.0,3.3,29.9,6007,17855.0,6007,1467.0
6009,15.5,13.3,35.8,9.2,4.1,36.1,6009,4282.0,6009,188.0
6011,19.2,13.8,28.0,7.0,3.3,29.8,6011,1301.0,6011,56.0
6013,18.0,9.9,26.5,5.5,2.7,29.2,6013,59585.0,6013,2958.0
6015,20.2,17.2,32.8,8.2,4.0,32.5,6015,2333.0,6015,187.0
6017,16.1,11.3,30.5,7.2,3.1,32.9,6017,9139.0,6017,397.0
6021,18.7,15.2,29.4,7.6,3.6,30.9,6021,1743.0,6021,141.0
6023,13.9,14.7,30.0,7.4,3.5,30.2,6023,12428.0,6023,828.0
6031,27.0,15.0,26.7,5.8,2.9,27.7,6031,7595.0,6031,906.0
6033,22.5,15.9,35.0,9.2,4.3,34.1,6033,5760.0,6033,548.0
6035,21.9,17.0,29.1,6.9,3.4,29.6,6035,1689.0,6035,129.0
6041,15.9,8.2,27.7,6.4,2.8,31.8,6041,8650.0,6041,244.0
6043,17.3,13.1,35.4,9.3,4.2,36.8,6043,1236.0,6043,111.0
6045,18.0,14.2,32.6,8.6,4.0,31.9,6045,8279.0,6045,535.0
6047,27.3,14.7,27.4,6.3,3.2,28.7,6047,17333.0,6047,826.0
6049,19.0,15.2,36.9,10.1,4.6,36.7,6049,379.0,6049,83.0
6053,22.9,12.1,25.9,6.3,3.0,27.7,6053,13947.0,6053,1168.0
6055,16.6,10.6,27.7,6.5,2.9,30.9,6055,6920.0,6055,203.0
6057,15.1,11.1,33.2,8.1,3.5,36.9,6057,5504.0,6057,484.0
6061,14.0,9.9,28.1,6.2,2.8,33.1,6061,16051.0,6061,1320.0
6063,18.3,12.5,35.9,9.1,4.0,36.8,6063,1347.0,6063,42.0
6067,19.8,12.6,27.1,5.8,3.0,28.5,6067,85964.0,6067,6654.0
6069,19.9,11.8,26.3,5.7,2.7,29.1,6069,2964.0,6069,188.0
6075,16.0,9.2,24.2,4.6,2.2,28.0,6075,36079.0,6075,1795.0
6077,24.8,13.7,28.3,6.0,3.1,30.1,6077,45759.0,6077,2854.0
6079,16.5,10.4,27.7,6.5,2.9,31.0,6079,13581.0,6079,1150.0
6081,13.9,8.6,25.0,4.9,2.3,31.3,6081,22571.0,6081,875.0
6083,19.4,10.7,24.7,6.1,2.8,28.2,6083,19819.0,6083,1176.0
6085,17.4,8.4,23.1,4.4,2.2,26.9,6085,63413.0,6085,2626.0
6087,15.5,10.5,25.7,6.0,2.7,29.0,6087,14187.0,6087,553.0
6089,15.7,14.6,31.4,7.9,3.7,32.9,6089,14551.0,6089,1382.0
6091,19.2,12.9,38.4,9.4,4.1,39.2,6091,207.0,6091,18.0
6093,19.7,14.7,34.9,9.5,4.4,35.9,6093,3189.0,6093,483.0
6095,23.3,11.6,27.8,5.8,3.0,29.5,6095,22678.0,6095,2615.0
6097,14.9,11.4,28.0,6.6,3.0,29.8,6097,23787.0,6097,1904.0
6099,25.4,14.2,28.5,6.3,3.1,30.5,6099,33985.0,6099,2127.0
6101,27.5,13.9,29.1,6.8,3.3,31.1,6101,5969.0,6101,454.0
6103,23.9,15.7,34.1,8.6,4.1,32.8,6103,5503.0,6103,727.0
6105,19.3,16.2,38.8,10.8,5.0,38.1,6105,1271.0,6105,174.0
6109,19.8,12.8,35.1,8.4,3.8,35.5,6109,4011.0,6109,706.0
6113,19.4,11.0,24.0,5.1,2.5,25.5,6113,10649.0,6113,396.0
6115,20.5,15.2,26.9,6.3,3.1,29.5,6115,6349.0,6115,769.0
15001,21.6,15.5,30.9,7.1,3.8,29.8,15001,11009.0,15001,1248.0
15003,21.2,11.4,30.1,4.9,3.0,30.7,15003,36688.0,15003,5594.0
15005,21.5,9.4,40.8,9.1,4.9,33.4,15005,8.0,15005,0.0
15007,20.8,12.7,29.7,6.5,3.4,29.1,15007,2760.0,15007,188.0
15009,19.3,13.6,27.2,6.0,3.3,27.3,15009,5939.0,15009,581.0
